21:55:29.460 esp_3_10s_5m -> 22.4 C | pin34= 1687 | Bat = 3.03 V
21:55:39.514 esp_3_10s_5m -> 22.5 C | pin34= 1814 | Bat = 3.29 V
21:55:49.463 esp_3_10s_5m -> 22.4 C | pin34= 1810 | Bat = 3.28 V
21:55:59.960 esp_3_10s_5m -> 22.4 C | pin34= 1810 | Bat = 3.02 V
21:56:09.960 esp_3_10s_5m -> 22.4 C | pin34= 1809 | Bat = 3.28 V
21:56:20.460 esp_3_10s_5m -> 22.4 C | pin34= 1809 | Bat = 3.27 V
21:56:30.960 esp_3_10s_5m -> 22.4 C | pin34= 1808 | Bat = 3.25 V
21:56:40.960 esp_3_10s_5m -> 22.4 C | pin34= 1808 | Bat = 3.01 V
21:56:51.459 esp_3_10s_5m -> 22.4 C | pin34= 1815 | Bat = 3.28 V
21:57:01.463 esp_3_10s_5m -> 22.4 C | pin34= 1803 | Bat = 3.22 V
21:57:11.460 esp_3_10s_5m -> 22.4 C | pin34= 1807 | Bat = 3.26 V
21:57:21.962 esp_3_10s_5m -> 22.4 C | pin34= 1808 | Bat = 2.92 V
21:57:31.963 esp_3_10s_5m -> 22.4 C | pin34= 1808 | Bat = 3.24 V
21:57:41.959 esp_3_10s_5m -> 22.4 C | pin34= 1808 | Bat = 3.27 V
21:57:52.459 esp_3_10s_5m -> 22.4 C | pin34= 1680 | Bat = 3.21 V
21:58:02.463 esp_3_10s_5m -> 22.4 C | pin34= 1808 | Bat = 3.29 V
21:58:12.960 esp_3_10s_5m -> 22.4 C | pin34= 1807 | Bat = 3.27 V
21:58:22.960 esp_3_10s_5m -> 22.4 C | pin34= 1803 | Bat = 3.27 V
21:58:34.460 esp_3_10s_5m -> 22.4 C | pin34= 1683 | Bat = 3.21 V
21:58:43.464 esp_3_10s_5m -> 22.4 C | pin34= 1805 | Bat = 2.98 V
21:58:53.960 esp_3_10s_5m -> 22.4 C | pin34= 1806 | Bat = 3.19 V
21:59:03.960 esp_3_10s_5m -> 22.4 C | pin34= 1803 | Bat = 2.99 V
21:59:14.490 esp_3_10s_5m -> 22.4 C | pin34= 1806 | Bat = 3.21 V
21:59:24.464 esp_3_10s_5m -> 22.4 C | pin34= 1807 | Bat = 3.25 V
21:59:34.460 esp_3_10s_5m -> 22.4 C | pin34= 1808 | Bat = 3.24 V
21:59:44.964 esp_3_10s_5m -> 22.4 C | pin34= 1805 | Bat = 3.25 V
21:59:54.959 esp_3_10s_5m -> 22.4 C | pin34= 1803 | Bat = 3.26 V
22:00:05.459 esp_3_10s_5m -> 22.4 C | pin34= 1803 | Bat = 2.96 V
22:00:15.460 esp_3_10s_5m -> 22.4 C | pin34= 1810 | Bat = 3.03 V
22:00:25.960 esp_3_10s_5m -> 22.4 C | pin34= 1814 | Bat = 3.21 V
22:00:35.962 esp_3_10s_5m -> 22.4 C | pin34= 1811 | Bat = 3.31 V
22:00:46.460 esp_3_10s_5m -> 22.4 C | pin34= 1811 | Bat = 3.25 V
22:00:56.461 esp_3_10s_5m -> 22.4 C | pin34= 1818 | Bat = 3.31 V
22:01:06.460 esp_3_10s_5m -> 22.4 C | pin34= 1815 | Bat = 3.30 V
22:01:16.960 esp_3_10s_5m -> 22.4 C | pin34= 1820 | Bat = 3.09 V
22:01:26.963 esp_3_10s_5m -> 22.4 C | pin34= 1815 | Bat = 3.09 V
22:01:37.460 esp_3_10s_5m -> 22.4 C | pin34= 1818 | Bat = 3.32 V
22:01:47.460 esp_3_10s_5m -> 22.4 C | pin34= 1815 | Bat = 3.32 V
22:01:57.963 esp_3_10s_5m -> 22.4 C | pin34= 1813 | Bat = 3.32 V
22:02:07.962 esp_3_10s_5m -> 22.4 C | pin34= 1823 | Bat = 3.34 V
